CSDUID,DGUID
2406030,2021A00052406030
2406035,2021A00052406035
2406040,2021A00052406040
2406045,2021A00052406045
2406050,2021A00052406050
2406055,2021A00052406055
2406060,2021A00052406060
2406802,2021A00052406802
2406804,2021A00052406804
2406902,2021A00052406902
2406904,2021A00052406904
2407005,2021A00052407005
2407010,2021A00052407010
2407018,2021A00052407018
2407025,2021A00052407025
2407030,2021A00052407030
2407035,2021A00052407035
2407040,2021A00052407040
2407047,2021A00052407047
2407057,2021A00052407057
2407065,2021A00052407065
2407070,2021A00052407070
2407075,2021A00052407075
2407080,2021A00052407080
2407085,2021A00052407085
2407090,2021A00052407090
2407095,2021A00052407095
2407100,2021A00052407100
2407105,2021A00052407105
2407902,2021A00052407902
2407904,2021A00052407904
2407906,2021A00052407906
2407908,2021A00052407908
2407910,2021A00052407910
2407912,2021A00052407912
2407914,2021A00052407914
2408005,2021A00052408005
2408010,2021A00052408010
2408015,2021A00052408015
2408023,2021A00052408023
2408030,2021A00052408030
2408035,2021A00052408035
2408040,2021A00052408040
2408053,2021A00052408053
2408065,2021A00052408065
2408073,2021A00052408073
2408080,2021A00052408080
2408902,2021A00052408902
2409005,2021A00052409005
2409010,2021A00052409010
2409015,2021A00052409015
2409020,2021A00052409020
2409025,2021A00052409025
2409030,2021A00052409030
2409035,2021A00052409035
2409040,2021A00052409040
2409048,2021A00052409048
2409055,2021A00052409055
2409060,2021A00052409060
2409065,2021A00052409065
2409070,2021A00052409070
2409077,2021A00052409077
2409085,2021A00052409085
2409092,2021A00052409092
2409902,2021A00052409902
2409904,2021A00052409904
2410005,2021A00052410005
2410010,2021A00052410010
2410015,2021A00052410015
2410025,2021A00052410025
2410030,2021A00052410030
2410043,2021A00052410043
2410060,2021A00052410060
2410070,2021A00052410070
2410075,2021A00052410075
2410902,2021A00052410902
2411005,2021A00052411005
2411010,2021A00052411010
2411015,2021A00052411015
2411020,2021A00052411020
2411025,2021A00052411025
2411030,2021A00052411030
2411035,2021A00052411035
2411040,2021A00052411040
2411045,2021A00052411045
2411050,2021A00052411050
2411055,2021A00052411055
2411902,2021A00052411902
2412005,2021A00052412005
2412010,2021A00052412010
2412015,2021A00052412015
2412020,2021A00052412020
2412025,2021A00052412025
2412030,2021A00052412030
2412035,2021A00052412035
2412043,2021A00052412043
2412045,2021A00052412045
2412057,2021A00052412057
2412065,2021A00052412065
2412072,2021A00052412072
2412080,2021A00052412080
2413005,2021A00052413005
2413010,2021A00052413010
2413015,2021A00052413015
2413020,2021A00052413020
2413025,2021A00052413025
2413030,2021A00052413030
2413040,2021A00052413040
2413045,2021A00052413045
2413050,2021A00052413050
2413055,2021A00052413055
2413060,2021A00052413060
2413065,2021A00052413065
2413073,2021A00052413073
2413075,2021A00052413075
2413080,2021A00052413080
2413085,2021A00052413085
2413090,2021A00052413090
2413095,2021A00052413095
2413100,2021A00052413100
2414005,2021A00052414005
2414010,2021A00052414010
2414018,2021A00052414018
2414025,2021A00052414025
2414030,2021A00052414030
2414035,2021A00052414035
2414040,2021A00052414040
2414045,2021A00052414045
2414050,2021A00052414050
2414055,2021A00052414055
2414060,2021A00052414060
2414065,2021A00052414065
2414070,2021A00052414070
2414075,2021A00052414075
2414080,2021A00052414080
2414085,2021A00052414085
2414090,2021A00052414090
2414902,2021A00052414902
2414904,2021A00052414904
2415005,2021A00052415005
2415013,2021A00052415013
2415025,2021A00052415025
2415030,2021A00052415030
2415035,2021A00052415035
2415058,2021A00052415058
2415065,2021A00052415065
2415902,2021A00052415902
2415904,2021A00052415904
2416005,2021A00052416005
2416013,2021A00052416013
2416023,2021A00052416023
2416048,2021A00052416048
2416050,2021A00052416050
2416055,2021A00052416055
2416902,2021A00052416902
2417005,2021A00052417005
2417010,2021A00052417010
2417015,2021A00052417015
2417020,2021A00052417020
2417025,2021A00052417025
2417030,2021A00052417030
2417035,2021A00052417035
2417040,2021A00052417040
2417045,2021A00052417045
2417055,2021A00052417055
2417060,2021A00052417060
2417065,2021A00052417065
2417070,2021A00052417070
2417078,2021A00052417078
2418005,2021A00052418005
2418010,2021A00052418010
2418015,2021A00052418015
2418020,2021A00052418020
2418025,2021A00052418025
2418030,2021A00052418030
2418035,2021A00052418035
2418040,2021A00052418040
2418045,2021A00052418045
2418050,2021A00052418050
2418055,2021A00052418055
2418060,2021A00052418060
2418065,2021A00052418065
2418070,2021A00052418070
2419005,2021A00052419005
2419010,2021A00052419010
2419015,2021A00052419015
2419020,2021A00052419020
2419025,2021A00052419025
2419030,2021A00052419030
2419037,2021A00052419037
2419045,2021A00052419045
2419050,2021A00052419050
2419055,2021A00052419055
2419062,2021A00052419062
2419068,2021A00052419068
2419070,2021A00052419070
2419075,2021A00052419075
2419082,2021A00052419082
2419090,2021A00052419090
2419097,2021A00052419097
2419105,2021A00052419105
2419110,2021A00052419110
2419117,2021A00052419117
2420005,2021A00052420005
2420010,2021A00052420010
2420015,2021A00052420015
2420020,2021A00052420020
2420025,2021A00052420025
2420030,2021A00052420030
2421005,2021A00052421005
2421010,2021A00052421010
2421015,2021A00052421015
2421020,2021A00052421020
2421025,2021A00052421025
